rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate
1,cristiano,92,3300.0,475800000.0,8700000.0,1.39,6500000.0,29000000000.0,Spain,0.0,8700000.0,1.8284993694829759,0.01828499369482976,8787878.787878787,8700000.0,,,19.980508157934853,8.101980731853192,24.090561666967368,15.978833698567334,,,,,,,,,0,8700000.0
2,kyliejenner,91,6900.0,366200000.0,8300000.000000001,1.62,5900000.0,57400000000.0,United States,0.0,8300000.000000001,2.2665210267613327,0.02266521026761333,8318840.579710145,8300000.000000001,,,19.718690192935433,8.839421607620602,24.773310140289354,15.931766193248746,,,,,,,,,0,8300000.000000001
3,leomessi,90,890.0,357300000.0,6800000.0,1.24,4400000.0,6000000000.0,Unknown,0.0,6800000.0,1.9031626084522808,0.01903162608452281,6741573.0337078655,6800000.0,,,19.694086325792405,6.792344427470809,22.515025306341133,15.732433317205148,,,,,,,,,0,6799999.999999999
4,selenagomez,93,1800.0,342700000.0,6200000.0,0.97,3300000.0,11500000000.0,United States,0.0,6200000.0,1.8091625328275458,0.01809162532827546,6388888.888888889,6200000.0,,,19.652365989762842,7.496097345175956,23.165612872402573,15.64006001130563,,,,,,,,,0,6200000.0
5,therock,91,6800.0,334100000.0,1900000.0,0.2,665300.0,12500000000.0,United States,0.0,1900000.0,0.5686920083807243,0.005686920083807243,1838235.294117647,1900000.0,,,19.6269509103201,8.824824939175638,23.248994481334666,14.45736497045232,,,,,,,,,0,1900000.0
6,kimkardashian,91,5600.0,329200000.0,3500000.0,0.88,2900000.0,19900000000.0,United States,0.0,3500000.0,1.06318347509113,0.0106318347509113,3553571.4285714286,3500000.0,,,19.612176029804857,8.630700432209832,23.71398556872711,15.068273812173887,,,,,,,,,0,3500000.0
7,arianagrande,92,5000.0,327700000.0,3700000.0,1.2,3900000.0,18400000000.0,United States,0.0,3700000.0,1.1290814769606348,0.011290814769606347,3680000.0,3700000.0,,,19.607609116720614,8.517393171418904,23.635616501615697,15.123843647884687,,,,,,,,,0,3700000.0
8,beyonce,92,2000.0,272800000.0,3600000.0,0.76,2000000.0,7400000000.0,United States,0.0,3600000.0,1.3196480938416422,0.013196480938416423,3700000.0,3600000.0,,,19.42424948759927,7.601402334583733,22.72474583729167,15.096444681204078,,,,,,,,,0,3600000.0
9,khloekardashian,89,4100.0,268300000.0,2400000.0,0.35,926900.0,9800000000.0,United States,0.0,2400000.0,0.8945210585165859,0.008945210585165859,2390243.9024390243,2400000.0,,,19.407616319123022,8.31898612539206,23.00564822272498,14.690979711984754,,,,,,,,,0,2400000.0
10,justinbieber,91,7400.0,254500000.0,1900000.0,0.59,1500000.0,13900000000.0,Canada,0.0,1900000.0,0.7465618860510805,0.007465618860510805,1878378.3783783785,1900000.0,,,19.354811397884124,8.909370405197466,23.355154677155,14.45736497045232,,,,,,,,,0,1900000.0
11,kendalljenner,90,660.0,254000000.0,5500000.0,2.04,5100000.0,3700000000.0,United States,0.0,5500000.0,2.1653543307086616,0.021653543307086614,5606060.606060606,5500000.0,,,19.352844828919817,6.493753839851686,22.03159865686686,15.520258832020865,,,,,,,,,0,5500000.0
12,natgeo,91,10000.0,237000000.0,302200.0,0.07,159300.0,3000000000.0,United States,0.0,302200.0,0.12751054852320676,0.0012751054852320675,300000.0,302200.0,,,19.283570703318816,9.210440366976517,21.821878125947855,12.618847637882144,,,,,,,,,0,302200.0
13,nike,90,950.0,234100000.0,329000.0,0.08,181800.0,313600000.0,United States,0.0,329000.0,0.14053823152498932,0.0014053823152498932,330105.2631578947,329000.0,,,19.271258936732817,6.85751406254539,19.563628849629303,12.703816069256568,,,,,,,,,0,329000.0
14,taylorswift,91,530.0,222200000.0,2400000.0,1.01,2300000.0,1300000000.0,United States,0.0,2400000.0,1.08010801080108,0.010801080108010801,2452830.1886792453,2400000.0,,,19.219088439670255,6.274762021241939,20.985630102183134,14.690979711984754,,,,,,,,,0,2400000.0
15,jlo,89,3200.0,220400000.0,1700000.0,0.62,1400000.0,5300000000.0,United States,0.0,1700000.0,0.7713248638838476,0.007713248638838476,1656250.0,1700000.0,,,19.210954639780237,8.071218539969863,22.390972657693165,14.346139397261565,,,,,,,,,0,1700000.0
16,virat.kohli,87,1400.0,211800000.0,3500000.0,0.96,2000000.0,4900000000.0,Unknown,0.0,3500000.0,1.6525023607176583,0.016525023607176583,3500000.0,3500000.0,,,19.171152995853017,7.244941546337007,22.312501042267073,15.068273812173887,,,,,,,,,0,3500000.0000000005
17,nickiminaj,90,6400.0,201600000.0,2100000.0,0.53,1000000.0,13500000000.0,United States,0.0,2100000.0,1.0416666666666665,0.010416666666666666,2109375.0,2100000.0,,,19.121796099121806,8.764209507142004,23.32595552246487,14.557448378884015,,,,,,,,,0,2100000.0
18,kourtneykardash,89,4400.0,195200000.0,1800000.0,0.67,1300000.0,7700000000.0,United States,0.0,1800000.0,0.9221311475409836,0.009221311475409836,1750000.0,1800000.0,,,19.08953523706622,8.38958706681109,22.76448616593592,14.403297778421795,,,,,,,,,0,1800000.0
19,mileycyrus,89,1200.0,181500000.0,1300000.0,0.51,913600.0,1600000000.0,Unknown,0.0,1300000.0,0.7162534435261708,0.007162534435261708,1333333.3333333333,1300000.0,,,19.016766217178823,7.0909098220799835,21.193269466817146,14.077875591662238,,,,,,,,,0,1300000.0
20,neymarjr,90,5300.0,177100000.0,2700000.0,1.09,1900000.0,14100000000.0,Brazil,0.0,2700000.0,1.5245623941276116,0.015245623941276116,2660377.3584905663,2700000.0,,,18.99222510839959,8.575650760987806,23.369440634401457,14.80876270134486,,,,,,,,,0,2700000.0
21,katyperry,92,2000.0,170300000.0,715000.0,0.16,265100.0,1500000000.0,Unknown,0.0,715000.0,0.41984732824427484,0.004198473282442748,750000.0,715000.0,,,18.95307215150491,7.601402334583733,21.12873094572124,13.480039220276565,,,,,,,,,0,715000.0
22,kevinhart4real,88,8200.0,152000000.0,522000.0,0.08,115200.0,4300000000.0,United States,0.0,522000.0,0.34342105263157896,0.0034342105263157896,524390.243902439,522000.0,,,18.839391085389497,9.012011377036412,22.181880859878486,13.165424782571753,,,,,,,,,0,522000.0
23,zendaya,87,3500.0,150700000.0,5800000.0,3.17,4800000.0,20600000000.0,United States,0.0,5800000.0,3.8487060384870606,0.038487060384870604,5885714.285714285,5800000.0,,,18.830801670232425,8.160803920954665,23.74855691279049,15.573368647930426,,,,,,,,,0,5800000.0
24,iamcardib,75,1600.0,140500000.0,3100000.0,1.1,1500000.0,5000000000.0,United States,0.0,3100000.0,2.206405693950178,0.02206405693950178,3125000.0,3100000.0,,,18.760718053855513,7.3783837129967145,22.33270374958051,14.946912992035967,,,,,,,,,0,3100000.0
25,ddlovato,88,80.0,139100000.0,1100000.0,0.27,363400.0,91300000.0,United States,0.0,1100000.0,0.7907979870596693,0.007907979870596693,1141250.0,1100000.0,,,18.750703664082742,4.394449154672439,18.3296613565181,13.910821646859095,,,,,,,,,0,1100000.0
